entry_date,entry_price,entry_idx,exit_date,exit_price,exit_idx,shares,profit,profit_pct,holding_days,exit_reason,symbol
2021-01-28,13.05,-1.1203,2023-09-11,45.18,19.2827,6118,195859.03429134004,244.82483447173936,956,idx>15 & <MA50,NVDA
2023-10-26,40.33,-0.274,2024-05-02,85.82,15.3062,5857,264957.47533493,111.94496784411459,189,idx>15 & <MA50,NVDA
2024-07-30,103.73,-0.0451,2024-08-29,117.59,17.8245,4316,57909.38557976001,12.90907096384759,30,idx>15 & <MA50,NVDA
2025-02-28,124.92,-1.3072,2025-09-02,170.78,23.7464,3954,178992.2257304401,36.16574142920999,186,idx>15 & <MA50,NVDA
2025-11-18,181.36,-0.3062,2025-12-31,186.5,8.1332,3511,15463.445126540144,2.4236269105537556,43,end_of_period,NVDA
2021-05-11,205.73,-1.4861,2021-12-31,352.26,16.9091,388,56420.69661364,70.54089041875721,234,idx>15 & <MA50,TSLA
2022-01-26,312.47,-1.1524,2023-09-07,251.49,15.6499,399,-24781.08441101997,-19.836768679828822,589,idx>15 & <MA50,TSLA
2023-10-20,211.99,-1.4554,2024-12-16,463.02,36.789,495,123591.71435985,117.54404387525783,423,idx>35,TSLA
2025-02-27,281.95,-0.0687,2025-12-31,449.72,13.891,722,120073.52964994,58.866718343871824,307,end_of_period,TSLA
2021-03-03,122.06,-0.0764,2025-12-31,271.86,10.5831,654,97454.05060920003,121.8374009683962,1764,end_of_period,AAPL
2021-01-12,251.09,-1.2775,2024-05-17,471.91,15.732,317,69541.62799994003,87.1942847682589,1221,idx>15 & <MA50,META
2024-07-19,476.79,-1.5427,2025-12-31,660.09,-3.3341,283,51230.47779390006,37.89192575546225,530,end_of_period,META
2021-11-29,145.53,-0.3963,2025-12-31,313.0,20.7036,548,91271.10289356005,114.21734367415782,1493,end_of_period,GOOGL
2021-09-30,281.92,-1.1318,2025-12-31,483.62,4.4691,283,56647.86144110003,70.86030901116925,1553,end_of_period,MSFT
2021-01-11,155.71,-0.3976,2025-12-31,230.82,3.1047,512,38060.55173632002,47.64534313393396,1815,end_of_period,AMZN
