buy_threshold,and_sell_threshold,or_threshold,total_return,annualized_return,sharpe_ratio,max_drawdown,total_trades,win_rate
0,10,50,715.2606577710312,52.400162350128035,1.5022874317491517,-51.28789389495479,6,100.0
0,5,50,697.8719026286715,51.741826092212385,1.499382100795691,-51.288033314757506,6,100.0
0,10,45,555.1150689552809,45.85253106780347,1.4153596930034682,-51.28789389495479,6,100.0
0,5,45,541.1310682022805,45.22197875523955,1.4121718219373895,-51.288033314757506,6,100.0
5,5,50,639.1212507693496,49.429155328706756,1.3963217380359425,-50.89688019907638,12,83.33333333333334
0,10,65,640.3611254032722,49.47945478800746,1.3871282405129328,-51.28789389495479,6,100.0
0,10,60,640.3611254032722,49.47945478800746,1.3871282405129328,-51.28789389495479,6,100.0
0,20,50,582.2820080141623,47.04738201591794,1.3846030071926005,-50.53557314863054,5,100.0
0,15,50,582.2820080141623,47.04738201591794,1.3846030071926005,-50.53557314863054,5,100.0
0,5,60,624.5662142567417,48.833583015917355,1.3827431760914242,-51.288033314757506,6,100.0
0,5,65,624.5662142567417,48.833583015917355,1.3827431760914242,-51.288033314757506,6,100.0
0,10,55,602.6108549391915,47.91684815737991,1.3789273511497708,-51.28789389495479,6,100.0
0,5,55,587.6587652954404,47.27933891127445,1.3746707007060188,-51.288033314757506,6,100.0
5,10,50,622.565581406681,48.7509741270894,1.3587024846310123,-50.898959279641275,8,100.0
0,25,50,751.6088827576672,53.740845016279806,1.3551072560673696,-61.06963398713088,4,100.0
5,5,45,494.6062321753486,43.04174754242764,1.3054803780619828,-50.89688019907638,12,83.33333333333334
5,5,60,570.8536928916193,46.549462712230685,1.2922668208845294,-50.89688019907638,12,83.33333333333334
5,5,65,570.8536928916193,46.549462712230685,1.2922668208845294,-50.89688019907638,12,83.33333333333334
0,15,45,449.45494972120173,40.79136039940838,1.2921381881786378,-50.53557314863054,5,100.0
0,20,45,449.45494972120173,40.79136039940838,1.2921381881786378,-50.53557314863054,5,100.0
0,25,60,721.7458903900688,52.64282066450085,1.288954991756791,-61.06963398713088,4,100.0
0,25,65,721.7458903900688,52.64282066450085,1.288954991756791,-61.06963398713088,4,100.0
5,5,55,536.851141488059,45.02679651724728,1.2811857891745115,-50.89688019907638,12,83.33333333333334
0,20,65,519.0805515461317,44.20499585697071,1.2754955614957024,-50.53557314863054,5,100.0
0,20,60,519.0805515461317,44.20499585697071,1.2754955614957024,-50.53557314863054,5,100.0
0,15,60,519.0805515461317,44.20499585697071,1.2754955614957024,-50.53557314863054,5,100.0
0,15,65,519.0805515461317,44.20499585697071,1.2754955614957024,-50.53557314863054,5,100.0
5,25,50,679.3908969795509,51.029445476051684,1.2695165517157456,-60.64322045313768,5,100.0
5,10,45,481.32437416987193,42.394365576831206,1.2670874454280519,-50.898959279641275,8,100.0
0,25,45,576.4306191922691,46.79328320289458,1.2657650873698216,-61.06963398713088,4,100.0
0,15,55,487.8691452575918,42.71483046678799,1.2645985989270052,-50.53557314863054,5,100.0
0,20,55,487.8691452575918,42.71483046678799,1.2645985989270052,-50.53557314863054,5,100.0
5,10,60,555.790138069231,45.88269741166593,1.259639979705997,-50.898959279641275,8,100.0
5,10,65,555.790138069231,45.88269741166593,1.259639979705997,-50.898959279641275,8,100.0
0,25,55,635.0723867705578,49.26442922948413,1.2573381084091138,-61.06963398713088,4,100.0
5,10,55,522.5413858217916,44.36650710082728,1.2475745173876207,-50.898959279641275,8,100.0
5,15,50,474.53885967875055,42.05905357851645,1.225551515740627,-49.628987938900835,6,100.0
5,20,50,474.53885967875055,42.05905357851645,1.225551515740627,-49.628987938900835,6,100.0
5,25,65,651.322860756761,49.92124859033118,1.2117599642007668,-60.64322045313768,5,100.0
5,25,60,651.322860756761,49.92124859033118,1.2117599642007668,-60.64322045313768,5,100.0
5,25,45,519.9141837151815,44.24396589792985,1.1788820001734335,-60.64322045313768,5,100.0
5,25,55,572.4912608335202,46.62122385481753,1.1777552288819761,-60.64322045313768,5,100.0
0,10,40,305.2200354785209,32.440983735353,1.1563608435069357,-51.28789389495479,6,100.0
0,5,40,296.56903290297004,31.868330435628266,1.1510591481570238,-51.288033314757506,6,100.0
0,10,35,294.22112024137135,31.711189119338236,1.1448922315319594,-51.28789389495479,6,83.33333333333334
0,5,35,285.80208244775946,31.141496809465163,1.1395471351857647,-51.288033314757506,6,83.33333333333334
5,20,60,420.7277818098013,39.28140989147486,1.131114174293138,-49.628987938900835,6,100.0
5,20,65,420.7277818098013,39.28140989147486,1.131114174293138,-49.628987938900835,6,100.0
5,15,65,420.7277818098013,39.28140989147486,1.131114174293138,-49.628987938900835,6,100.0
5,15,60,420.7277818098013,39.28140989147486,1.131114174293138,-49.628987938900835,6,100.0
5,15,45,363.9358075592306,36.088874040044104,1.1287176353402375,-49.628987938900835,6,100.0
5,20,45,363.9358075592306,36.088874040044104,1.1287176353402375,-49.628987938900835,6,100.0
5,15,55,394.7879521937613,37.85964164850193,1.1164740320552584,-49.628987938900835,6,100.0
5,20,55,394.7879521937613,37.85964164850193,1.1164740320552584,-49.628987938900835,6,100.0
0,10,30,245.68970215303025,28.28223585095757,1.0728563418391908,-51.28656899574492,6,83.33333333333334
0,5,30,238.28918863613984,27.726016361529915,1.06684993955308,-51.28752137106739,6,83.33333333333334
5,5,40,268.6158843878694,29.947001471301647,1.0474222892983298,-50.89688019907638,12,75.0
5,5,35,258.60375956846013,29.230460485462096,1.0349122695753379,-50.89688019907638,12,75.0
0,15,40,241.46409760654097,27.965820498419625,1.0265063767291298,-50.53557314863054,5,80.0
0,20,40,241.46409760654097,27.965820498419625,1.0265063767291298,-50.53557314863054,5,80.0
0,25,40,308.216433533999,32.63705245453392,1.0176273924033628,-61.06963398713088,4,100.0
0,20,35,232.49993872832118,27.284078897038633,1.0143057695600906,-50.53557314863054,5,80.0
0,15,35,232.49993872832118,27.284078897038633,1.0143057695600906,-50.53557314863054,5,80.0
5,10,40,260.33964207866075,29.355829076402685,1.0111673286360632,-50.898959279641275,8,87.5
0,25,35,295.3391553573989,31.786110093576948,1.0031648573680871,-61.06963398713088,4,100.0
5,10,35,250.50069834264033,28.63874444396668,0.998423855401789,-50.898959279641275,8,87.5
5,10,30,230.19286928575028,27.106247884400393,0.97808252153416,-50.90268702371573,8,87.5
-15,25,60,205.58490564336057,25.14483757649497,0.9680883476063529,-39.89050490738988,2,100.0
-15,25,65,205.58490564336057,25.14483757649497,0.9680883476063529,-39.89050490738988,2,100.0
5,5,30,214.4355726890294,25.864360662190332,0.9614454222882485,-50.90075674498071,12,75.0
-15,20,65,189.72887902431052,23.813065983752836,0.9432552745595493,-39.89050490738988,2,100.0
-15,10,60,189.72887902431052,23.813065983752836,0.9432552745595493,-39.89050490738988,2,100.0
-15,20,60,189.72887902431052,23.813065983752836,0.9432552745595493,-39.89050490738988,2,100.0
-15,15,60,189.72887902431052,23.813065983752836,0.9432552745595493,-39.89050490738988,2,100.0
-15,10,65,189.72887902431052,23.813065983752836,0.9432552745595493,-39.89050490738988,2,100.0
-15,15,65,189.72887902431052,23.813065983752836,0.9432552745595493,-39.89050490738988,2,100.0
-15,5,65,189.72887902431052,23.813065983752836,0.9432552745595493,-39.89050490738988,2,100.0
-15,5,60,189.72887902431052,23.813065983752836,0.9432552745595493,-39.89050490738988,2,100.0
0,15,30,191.80655475094048,23.990840014667803,0.9388957859356613,-50.53851318406844,5,80.0
0,20,30,191.80655475094048,23.990840014667803,0.9388957859356613,-50.53851318406844,5,80.0
0,25,30,191.80655475094048,23.990840014667803,0.9388957859356613,-50.53851318406844,5,80.0
0,10,25,187.16305835400004,23.592112842774917,0.9387149029337092,-51.29063769437858,6,83.33333333333334
5,25,40,275.0432290179703,30.39883193328261,0.9355661356416198,-60.64322045313768,5,100.0
0,5,25,181.0030061535901,23.05513233949512,0.9310982213317143,-51.28679913324762,6,83.33333333333334
-15,15,55,174.95536427187045,22.518719493500793,0.9271819375093016,-39.89050490738988,2,100.0
-15,10,55,174.95536427187045,22.518719493500793,0.9271819375093016,-39.89050490738988,2,100.0
-15,5,55,174.95536427187045,22.518719493500793,0.9271819375093016,-39.89050490738988,2,100.0
-15,25,55,174.95536427187045,22.518719493500793,0.9271819375093016,-39.89050490738988,2,100.0
-15,20,55,174.95536427187045,22.518719493500793,0.9271819375093016,-39.89050490738988,2,100.0
5,25,35,263.1917315117708,29.560768087523947,0.9208846528828258,-60.64322045313768,5,100.0
-15,10,50,167.94158787015076,21.88467206482745,0.9072683237200367,-39.89050490738988,2,100.0
-15,15,50,167.94158787015076,21.88467206482745,0.9072683237200367,-39.89050490738988,2,100.0
-15,20,50,167.94158787015076,21.88467206482745,0.9072683237200367,-39.89050490738988,2,100.0
-15,25,50,167.94158787015076,21.88467206482745,0.9072683237200367,-39.89050490738988,2,100.0
-15,5,50,167.94158787015076,21.88467206482745,0.9072683237200367,-39.89050490738988,2,100.0
5,15,40,189.82158147033053,23.821019646641627,0.866423453091083,-49.628987938900835,6,83.33333333333334
5,20,40,189.82158147033053,23.821019646641627,0.866423453091083,-49.628987938900835,6,83.33333333333334
5,10,25,176.59551710154045,22.66512203749762,0.859447636611599,-50.9036691829168,8,87.5
5,15,35,182.35804939149043,23.174054689253666,0.8533644826029707,-49.628987938900835,6,83.33333333333334
5,20,35,182.35804939149043,23.174054689253666,0.8533644826029707,-49.628987938900835,6,83.33333333333334
-10,25,60,163.9711728401696,21.519843626737977,0.8454182428961176,-39.80349304460111,2,100.0
-10,25,65,163.9711728401696,21.519843626737977,0.8454182428961176,-39.80349304460111,2,100.0
-5,10,65,167.79439758758974,21.871224604368344,0.840602480972741,-50.68884609146043,3,100.0
-5,10,60,167.79439758758974,21.871224604368344,0.840602480972741,-50.68884609146043,3,100.0
5,5,25,161.6771107163405,21.307046302578737,0.8344724009795162,-50.903343248683186,12,75.0
-5,5,65,162.00265190265998,21.337334069663093,0.8315638808654995,-50.68089235115997,3,100.0
-5,5,60,162.00265190265998,21.337334069663093,0.8315638808654995,-50.68089235115997,3,100.0
5,15,30,166.34445091027033,21.738439237918694,0.8294011216499564,-49.62826154641593,6,83.33333333333334
5,25,30,166.34445091027033,21.738439237918694,0.8294011216499564,-49.62826154641593,6,83.33333333333334
5,20,30,166.34445091027033,21.738439237918694,0.8294011216499564,-49.62826154641593,6,83.33333333333334
-5,10,55,154.25516918962984,20.608212894859477,0.8201326051800768,-50.68884609146043,3,100.0
-10,10,60,150.2459093362501,20.2239025315607,0.8179643476040255,-39.80349304460111,2,100.0
-10,15,65,150.2459093362501,20.2239025315607,0.8179643476040255,-39.80349304460111,2,100.0
-10,5,60,150.2459093362501,20.2239025315607,0.8179643476040255,-39.80349304460111,2,100.0
-10,20,60,150.2459093362501,20.2239025315607,0.8179643476040255,-39.80349304460111,2,100.0
-10,10,65,150.2459093362501,20.2239025315607,0.8179643476040255,-39.80349304460111,2,100.0
-10,20,65,150.2459093362501,20.2239025315607,0.8179643476040255,-39.80349304460111,2,100.0
-10,5,65,150.2459093362501,20.2239025315607,0.8179643476040255,-39.80349304460111,2,100.0
-10,15,60,150.2459093362501,20.2239025315607,0.8179643476040255,-39.80349304460111,2,100.0
-5,5,55,148.7319307942099,20.07749856005667,0.810842524756465,-50.68089235115997,3,100.0
-15,5,45,123.88256381526026,17.566328281366527,0.8065270173185184,-39.89050490738988,2,100.0
-15,20,45,123.88256381526026,17.566328281366527,0.8065270173185184,-39.89050490738988,2,100.0
-15,25,45,123.88256381526026,17.566328281366527,0.8065270173185184,-39.89050490738988,2,100.0
-15,10,45,123.88256381526026,17.566328281366527,0.8065270173185184,-39.89050490738988,2,100.0
-15,15,45,123.88256381526026,17.566328281366527,0.8065270173185184,-39.89050490738988,2,100.0
0,20,25,142.46536155473984,19.463830159190643,0.804810140848312,-50.53641890132321,5,80.0
0,25,25,142.46536155473984,19.463830159190643,0.804810140848312,-50.53641890132321,5,80.0
0,15,25,142.46536155473984,19.463830159190643,0.804810140848312,-50.53641890132321,5,80.0
-5,10,50,147.83626274299007,19.990550516403506,0.8017302752915764,-50.68884609146043,3,100.0
-10,5,55,137.51307966900995,18.969834872008697,0.7970620579946194,-39.80349304460111,2,100.0
-10,10,55,137.51307966900995,18.969834872008697,0.7970620579946194,-39.80349304460111,2,100.0
-10,15,55,137.51307966900995,18.969834872008697,0.7970620579946194,-39.80349304460111,2,100.0
-10,25,55,137.51307966900995,18.969834872008697,0.7970620579946194,-39.80349304460111,2,100.0
-10,20,55,137.51307966900995,18.969834872008697,0.7970620579946194,-39.80349304460111,2,100.0
-5,5,50,142.46911680444018,19.46420167703451,0.7922300352689999,-50.68089235115997,3,100.0
-10,10,50,131.48428525458996,18.357220620067327,0.7775683079981367,-39.80349304460111,2,100.0
-10,20,50,131.48428525458996,18.357220620067327,0.7775683079981367,-39.80349304460111,2,100.0
-10,25,50,131.48428525458996,18.357220620067327,0.7775683079981367,-39.80349304460111,2,100.0
-10,15,50,131.48428525458996,18.357220620067327,0.7775683079981367,-39.80349304460111,2,100.0
-10,5,50,131.48428525458996,18.357220620067327,0.7775683079981367,-39.80349304460111,2,100.0
-5,25,65,152.89780331380038,20.47864741648848,0.7732381228839056,-51.06414540392961,2,100.0
-5,25,60,152.89780331380038,20.47864741648848,0.7732381228839056,-51.06414540392961,2,100.0
-5,20,60,139.76020067920024,19.194997789670243,0.7453588050171325,-51.06414540392961,2,100.0
-5,20,65,139.76020067920024,19.194997789670243,0.7453588050171325,-51.06414540392961,2,100.0
-5,15,65,139.76020067920024,19.194997789670243,0.7453588050171325,-51.06414540392961,2,100.0
-5,15,60,139.76020067920024,19.194997789670243,0.7453588050171325,-51.06414540392961,2,100.0
-25,25,60,115.5332024848796,16.672521739057956,0.7394994797973988,-36.50917803774754,1,100.0
-25,25,65,115.5332024848796,16.672521739057956,0.7394994797973988,-36.50917803774754,1,100.0
-5,15,55,127.58427735053006,17.95409602443614,0.7219128532898551,-51.06414540392961,2,100.0
-5,20,55,127.58427735053006,17.95409602443614,0.7219128532898551,-51.06414540392961,2,100.0
-5,25,55,127.58427735053006,17.95409602443614,0.7219128532898551,-51.06414540392961,2,100.0
5,20,25,123.32499335167016,17.507477545820805,0.7097463554956518,-49.62787528781985,6,83.33333333333334
5,15,25,123.32499335167016,17.507477545820805,0.7097463554956518,-49.62787528781985,6,83.33333333333334
5,25,25,123.32499335167016,17.507477545820805,0.7097463554956518,-49.62787528781985,6,83.33333333333334
-25,15,65,104.1470689559397,15.407915386692107,0.7081935156215264,-36.50917803774754,1,100.0
-25,15,60,104.1470689559397,15.407915386692107,0.7081935156215264,-36.50917803774754,1,100.0
-25,5,60,104.1470689559397,15.407915386692107,0.7081935156215264,-36.50917803774754,1,100.0
-25,5,65,104.1470689559397,15.407915386692107,0.7081935156215264,-36.50917803774754,1,100.0
-25,10,65,104.1470689559397,15.407915386692107,0.7081935156215264,-36.50917803774754,1,100.0
-25,10,60,104.1470689559397,15.407915386692107,0.7081935156215264,-36.50917803774754,1,100.0
-25,20,60,104.1470689559397,15.407915386692107,0.7081935156215264,-36.50917803774754,1,100.0
-25,20,65,104.1470689559397,15.407915386692107,0.7081935156215264,-36.50917803774754,1,100.0
-5,15,50,121.79572363689992,17.345460491248545,0.7039669668681825,-51.06414540392961,2,100.0
-5,20,50,121.79572363689992,17.345460491248545,0.7039669668681825,-51.06414540392961,2,100.0
