symbol,window,test_year,train_buy,train_and,train_or,train_return,train_trades,test_buy,test_and,test_or,test_return,test_trades,position_carry
TSLA,W2020,2020,-15,15,50,165.98921251342009,6,-12.0,15,50,0.0,0,False
TSLA,W2021,2021,5,25,65,466.26081397653996,4,4.0,25,65,44.369101618636655,2,False
TSLA,W2022,2022,5,25,65,688.0180434863701,6,4.0,25,65,-43.193541768537834,1,False
TSLA,W2023,2023,5,25,65,386.3497471210102,7,4.0,25,65,98.80623100225179,2,True
TSLA,W2024,2024,5,25,50,439.1415297516103,7,4.0,25,50,55.59907438030558,1,True
TSLA,W2025,2025,-10,25,50,211.10746614434012,6,-8.0,25,50,70.81694169093093,1,False
AAPL,W2020,2020,-10,20,45,170.99539286635,1,-8.0,20,45,72.67187442159543,1,True
AAPL,W2021,2021,5,15,45,275.0652810943001,5,4.0,15,45,30.727849580916832,0,True
AAPL,W2022,2022,-5,20,45,337.8400297077701,5,-4.0,20,45,-24.275647907371724,0,True
AAPL,W2023,2023,5,15,45,223.97971837307017,7,4.0,15,45,40.83335054357915,0,True
AAPL,W2024,2024,-5,10,45,212.65563730869013,7,-4.0,10,45,15.20128853198679,1,True
AAPL,W2025,2025,0,5,25,120.48328305071033,19,0.0,5,25,9.152994461243136,1,True
MSFT,W2020,2020,-5,15,30,179.91725490736,1,-4.0,15,30,35.769539312661756,0,True
MSFT,W2021,2021,5,15,25,194.40133101777,3,4.0,15,25,48.202357154715195,2,True
MSFT,W2022,2022,0,15,60,220.03050571276,1,0.0,15,60,-26.57550843815708,0,True
MSFT,W2023,2023,0,10,25,78.98115425863008,5,0.0,10,25,42.59016796724631,2,True
MSFT,W2024,2024,-5,15,60,138.51920949965003,1,-4.0,15,60,12.490064372210163,0,True
MSFT,W2025,2025,0,10,65,77.49440954381012,5,0.0,10,65,11.626455804086966,2,True
GOOGL,W2020,2020,-5,15,30,91.63600597305006,5,-4.0,15,30,23.51718361387436,0,True
GOOGL,W2021,2021,-5,10,60,119.6142232966802,7,-4.0,10,60,47.280502510985386,1,True
GOOGL,W2022,2022,-5,15,40,227.55878989082007,5,-4.0,15,40,-35.716557469793756,0,True
GOOGL,W2023,2023,-5,10,25,102.14395902465027,7,-4.0,10,25,21.945368890429016,1,True
GOOGL,W2024,2024,-5,25,60,127.86777776880002,1,-4.0,25,60,33.72314300497423,0,True
GOOGL,W2025,2025,-15,15,25,61.67693720371006,3,-12.0,15,25,17.968906650180717,1,True
AMZN,W2020,2020,0,25,60,187.21296178080001,1,0.0,25,60,66.73350229964565,0,True
AMZN,W2021,2021,5,15,35,217.89659297075005,3,4.0,15,35,3.7431744065171246,0,True
AMZN,W2022,2022,-20,25,65,118.07001296640003,1,-16.0,25,65,-46.14383427902138,0,True
AMZN,W2023,2023,-25,5,25,10.085128166190028,3,-20.0,5,25,10.47511502706493,1,True
AMZN,W2024,2024,5,15,35,72.31198617416008,5,4.0,15,35,38.27084908175311,0,True
AMZN,W2025,2025,-25,25,40,82.81816115047998,1,-20.0,25,40,4.287754229379193,0,True
NVDA,W2020,2020,5,15,50,440.9374620118532,7,4.0,15,50,101.15387542684498,0,True
NVDA,W2021,2021,5,15,35,360.67529154556,8,4.0,15,35,34.15463049979734,2,False
NVDA,W2022,2022,-30,25,50,566.8455637217801,1,-24.0,25,50,-49.98480326132421,0,True
NVDA,W2023,2023,-15,20,60,276.12339607281,3,-12.0,20,60,142.82475445701465,1,True
NVDA,W2024,2024,5,25,65,763.3528111724402,3,4.0,25,65,75.62085378836727,3,True
NVDA,W2025,2025,5,25,65,582.1631426705902,7,4.0,25,65,21.93552581640359,2,True
META,W2020,2020,5,5,30,70.4069958099302,21,4.0,5,30,6.766665205267519,5,True
META,W2021,2021,-5,10,25,87.30190711690003,6,-4.0,10,25,0.6529364488514267,1,False
META,W2022,2022,-10,10,25,138.1256715131201,5,-8.0,10,25,-54.49639406764313,0,True
META,W2023,2023,-10,5,25,-7.358098562039961,5,-8.0,5,25,35.20982211453105,1,True
META,W2024,2024,-10,20,55,96.94556485284002,3,-8.0,20,55,59.434751763606066,2,True
META,W2025,2025,-30,25,55,173.64668102036998,1,-24.0,25,55,9.423757324417249,0,True
