entry_date,entry_price,entry_idx,entry_ma50,exit_date,exit_price,exit_idx,exit_ma50,exit_reason,holding_days,shares,cost,revenue,profit,profit_pct
2021-03-16,13.32,-3.14,13.55,2021-06-10,17.4,24.89,15.2,超时卖出 (≥60天),60,6007,79992.7,104492.61,24499.91,30.63
2021-10-12,20.71,7.51,21.23,2022-01-06,28.12,9.95,29.74,超时卖出 (≥60天),60,4808,99580.12,135218.46,35638.34,35.79
2022-01-07,27.3,8.51,29.79,2022-04-05,25.88,2.41,24.68,超时卖出 (≥60天),60,4691,128085.41,121394.35,-6691.05,-5.22
2022-04-06,24.46,-2.69,24.72,2022-07-05,14.93,-21.23,17.51,超时卖出 (≥60天),60,5018,122734.36,74919.14,-47815.22,-38.96
2022-07-06,15.16,-20.46,17.42,2022-09-29,12.2,-19.25,15.92,超时卖出 (≥60天),60,5574,84503.29,67978.05,-16525.24,-19.56
2022-09-30,12.16,-19.58,15.8,2022-12-27,14.09,-7.38,15.17,超时卖出 (≥60天),60,5860,71282.68,82577.71,11295.03,15.85
2022-12-28,14.07,-10.21,15.22,2023-03-27,26.48,34.17,22.22,超时卖出 (≥60天),60,5709,80314.67,151156.85,70842.18,88.21
2023-09-26,41.99,9.31,45.16,2023-12-20,48.01,13.79,46.2,超时卖出 (≥60天),60,3262,136983.84,156620.95,19637.11,14.34
2024-01-03,47.67,8.34,46.93,2024-04-01,90.18,41.36,77.6,超时卖出 (≥60天),60,3203,152671.44,288844.23,136172.79,89.19
2024-07-25,112.5,9.33,118.42,2024-08-29,117.35,31.27,120.3,AND卖出 (指数>阈值且破MA50),25,2325,261573.1,272849.96,11276.85,4.31
2024-09-06,103.04,6.31,118.61,2024-12-02,138.35,6.02,136.12,超时卖出 (≥60天),60,2626,270571.64,363314.3,92742.65,34.28
2024-12-03,140.54,7.37,136.6,2025-03-04,115.76,-9.99,132.88,超时卖出 (≥60天),60,2453,344745.9,283954.42,-60791.47,-17.63
2025-03-05,117.53,-10.91,132.65,2025-05-30,134.86,10.55,116.2,超时卖出 (≥60天),60,2520,296187.19,339846.54,43659.35,14.74
2025-06-02,137.65,8.28,116.58,2025-08-27,181.24,37.87,169.23,超时卖出 (≥60天),60,2405,331059.7,435874.5,104814.81,31.66
2025-10-17,183.59,9.27,179.57,2025-12-31,186.13,7.94,186.36,期末强制平仓,51,2260,414905.35,420647.02,5741.67,1.38
